人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
81,宮沢 賢治,53349,遊園地工作,新字旧仮名,,公開,2011-07-02,新修宮沢賢治全集　第六巻,筑摩書房,ゆうえんちこうさく,,https://www.aozora.gr.jp/cards/000081/files/53349_43331.html
81,宮沢 賢治,53442,〔夕陽は青めりかの山裾に〕,新字旧仮名,,公開,2011-07-30,新修宮沢賢治全集　第六巻,筑摩書房,〔ゆうひはあおめりかのやますそに〕,,https://www.aozora.gr.jp/cards/000081/files/53442_43332.html
81,宮沢 賢治,53371,〔ゆがみつゝ月は出で〕,新字旧仮名,,公開,2011-07-09,新修宮沢賢治全集　第六巻,筑摩書房,〔ゆがみつつつきはいで〕,,https://www.aozora.gr.jp/cards/000081/files/53371_43333.html
81,宮沢 賢治,53421,〔雪とひのきの坂上に〕,新字旧仮名,,公開,2011-07-24,新修宮沢賢治全集　第六巻,筑摩書房,〔ゆきとひのきのさかうえに〕,,https://www.aozora.gr.jp/cards/000081/files/53421_43334.html
81,宮沢 賢治,2543,雪渡り,新字旧仮名,,公開,2009-02-08,宮沢賢治全集8,ちくま文庫、筑摩書房,ゆきわたり,,https://www.aozora.gr.jp/cards/000081/files/2543_34173.html
81,宮沢 賢治,45679,雪渡り,新字新仮名,,公開,2006-04-26,注文の多い料理店,新潮文庫、新潮社,ゆきわたり,,https://www.aozora.gr.jp/cards/000081/files/45679_22349.html
81,宮沢 賢治,53364,〔弓のごとく〕,新字旧仮名,,公開,2011-07-02,新修宮沢賢治全集　第六巻,筑摩書房,〔ゆみのごとく〕,,https://www.aozora.gr.jp/cards/000081/files/53364_43335.html
81,宮沢 賢治,53404,百合を掘る,新字旧仮名,,公開,2011-07-16,新修宮沢賢治全集　第六巻,筑摩書房,ゆりをほる,,https://www.aozora.gr.jp/cards/000081/files/53404_43336.html
81,宮沢 賢治,53354,楊林,新字旧仮名,,公開,2011-07-02,新修宮沢賢治全集　第六巻,筑摩書房,ようりん,,https://www.aozora.gr.jp/cards/000081/files/53354_43337.html
81,宮沢 賢治,4441,よく利く薬とえらい薬,新字旧仮名,,公開,2002-11-20,新修宮沢賢治全集　第八巻,筑摩書房,よくきくくすりとえらいくすり,,https://www.aozora.gr.jp/cards/000081/files/4441_7305.html
