人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
1257,アーヴィング ワシントン,59898,ウェストミンスター寺院,新字新仮名,吉田 甲子太郎,公開,2020-04-03,スケッチ・ブック,新潮文庫、新潮社,ウェストミンスターじいん,,https://www.aozora.gr.jp/cards/001257/files/59898_70731.html
1257,アーヴィング ワシントン,56078,駅伝馬車,旧字旧仮名,高垣 松雄,公開,2013-09-20,スケッチ・ブック,岩波文庫、岩波書店,えきでんばしゃ,,https://www.aozora.gr.jp/cards/001257/files/56078_51422.html
1257,アーヴィング ワシントン,60224,駅馬車,新字新仮名,吉田 甲子太郎,公開,2021-05-18,スケッチ・ブック,新潮文庫、新潮社,えきばしゃ,,https://www.aozora.gr.jp/cards/001257/files/60224_73212.html
1257,アーヴィング ワシントン,60225,寡婦とその子,新字新仮名,吉田 甲子太郎,公開,2021-10-16,スケッチ・ブック,新潮文庫、新潮社,かふとそのこ,,https://www.aozora.gr.jp/cards/001257/files/60225_74217.html
1257,アーヴィング ワシントン,56033,クリスマス・イーヴ,旧字旧仮名,高垣 松雄,公開,2013-08-08,スケッチ・ブック,岩波文庫、岩波書店,クリスマス・イーヴ,,https://www.aozora.gr.jp/cards/001257/files/56033_50983.html
1257,アーヴィング ワシントン,60230,わたくし自身について,新字新仮名,吉田 甲子太郎,公開,2021-04-03,スケッチ・ブック,新潮文庫、新潮社,わたくしじしんについて,,https://www.aozora.gr.jp/cards/001257/files/60230_73013.html
1657,アークム フレデリック,54333,食品の混ぜ物処理および調理の毒物（1820）,新字新仮名,水上 茂樹,公開,2011-11-21,,,しょくひんのまぜものしょりおよびちょうりのどくぶつ（せんはっぴゃくにじゅう）,"A TREATISE ON ADULTERATIONS OF FOOD, AND CULINARY POISONS (1820)",https://www.aozora.gr.jp/cards/001657/files/54333_67472.html
1245,会津 八一,46511,一片の石,新字旧仮名,,公開,2007-01-03,日本の名随筆88　石,作品社,いっぺんのいし,,https://www.aozora.gr.jp/cards/001245/files/46511_25607.html
1245,会津 八一,57975,音楽に就いて,旧字旧仮名,,公開,2017-11-21,會津八一全集　第七卷,中央公論社,おんがくについて,,https://www.aozora.gr.jp/cards/001245/files/57975_63084.html
1245,会津 八一,57976,学規,旧字旧仮名,,公開,2017-07-01,會津八一全集　第七卷,中央公論社,がくき,,https://www.aozora.gr.jp/cards/001245/files/57976_61955.html
1245,会津 八一,46512,菊の根分をしながら,新字旧仮名,,公開,2007-01-03,花の名随筆3　三月の花,作品社,きくのねわけをしながら,,https://www.aozora.gr.jp/cards/001245/files/46512_25608.html
1245,会津 八一,46513,支那の明器,新字旧仮名,,公開,2007-01-03,日本の名随筆　別巻9　骨董,作品社,しなのめいき,,https://www.aozora.gr.jp/cards/001245/files/46513_25609.html
1245,会津 八一,58663,趣味の修養,旧字旧仮名,,公開,2018-11-21,會津八一全集　第七卷,中央公論社,しゅみのしゅうよう,,https://www.aozora.gr.jp/cards/001245/files/58663_66335.html
1245,会津 八一,57978,少年少女におくる言葉,旧字旧仮名,,公開,2017-07-01,會津八一全集　第七卷,中央公論社,しょうねんしょうじょにおくることば,,https://www.aozora.gr.jp/cards/001245/files/57978_61952.html
1245,会津 八一,58664,綜合大学の図書,旧字旧仮名,,公開,2019-08-01,會津八一全集　第七卷,中央公論社,そうごうだいがくのとしょ,,https://www.aozora.gr.jp/cards/001245/files/58664_68740.html
1245,会津 八一,58665,綜合大学を迎へて,旧字旧仮名,,公開,2019-11-21,會津八一全集　第七卷,中央公論社,そうごうだいがくをむかえて,,https://www.aozora.gr.jp/cards/001245/files/58665_69580.html
1245,会津 八一,58666,大学とその総長,旧字旧仮名,,公開,2019-11-21,會津八一全集　第七卷,中央公論社,だいがくとそのそうちょう,,https://www.aozora.gr.jp/cards/001245/files/58666_69579.html
1245,会津 八一,46514,拓本の話,旧字旧仮名,,公開,2007-01-01,日本の名随筆27　墨,作品社,たくほんのはなし,,https://www.aozora.gr.jp/cards/001245/files/46514_25610.html
1428,アインシュタイン アルベルト,50328,相対性理論,新字新仮名,石原 純,公開,2018-04-18,世界大思想全集　48,春秋社,そうたいせいりろん,,https://www.aozora.gr.jp/cards/001428/files/50328_64360.html
374,饗庭 篁村,56014,木曽道中記,旧字旧仮名,,公開,2019-06-20,明治文學全集　94　明治紀行文學集,筑摩書房,きそどうちゅうき,,https://www.aozora.gr.jp/cards/000374/files/56014_68264.html
374,饗庭 篁村,47032,隅田の春,新字旧仮名,,公開,2008-08-02,明治の文学　第13巻　饗庭篁村,筑摩書房,すみだのはる,,https://www.aozora.gr.jp/cards/000374/files/47032_31783.html
374,饗庭 篁村,45754,良夜,新字新仮名,,公開,2006-09-25,新潟県文学全集　第1巻　明治編,郷土出版社,りょうや,,https://www.aozora.gr.jp/cards/000374/files/45754_23935.html
330,青木 栄瞳,900,野性のセロリ,新字新仮名,,公開,1998-02-26,生原稿,,やせいのセロリ,,http://www.longtail.co.jp/eime/
2091,青木 正児,59877,九年母,新字新仮名,,公開,2019-12-02,「あまカラ」抄2,冨山房百科文庫、冨山房,くねんぼ,,https://www.aozora.gr.jp/cards/002091/files/59877_69720.html
1790,青空文庫 ,56572,青空文庫の提案,新字新仮名,,公開,2014-01-01,,,あおぞらぶんこのていあん,,https://www.aozora.gr.jp/cards/001790/files/56572_51810.html
1542,青野 季吉,52214,百万人のそして唯一人の文学,新字旧仮名,,公開,2012-01-01,現代日本文學大系　54　片上伸　平林初之輔　青野季吉　宮本顯治　藏原惟人集,筑摩書房,ひゃくまんにんのそしてただひとりのぶんがく,,https://www.aozora.gr.jp/cards/001542/files/52214_46221.html
1314,青柳 喜兵衛,47604,夢の如く出現した彼,新字新仮名,,公開,2008-12-09,「探偵」傑作選　幻の探偵雑誌9,光文社文庫、光文社,ゆめのごとくしゅつげんしたかれ,,https://www.aozora.gr.jp/cards/001314/files/47604_33427.html
1584,秋田 雨雀,53182,三人の百姓,新字新仮名,,公開,2013-01-01,日本児童文学名作集（下）,岩波文庫、岩波書店,さんにんのひゃくしょう,,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html
1162,秋田 滋,43837,ある自殺者の手記,新字新仮名,秋田 滋,公開,2006-05-26,モオパツサン短篇集　色ざんげ　他十篇,改造文庫、改造社出版,あるじさつしゃのしゅき,SUICIDES,https://www.aozora.gr.jp/cards/000903/files/43837_23037.html
1162,秋田 滋,47074,親ごころ,新字新仮名,秋田 滋,公開,2010-08-21,モオパツサン短篇集　初雪　他九篇,改造文庫、改造社出版,おやごころ,,https://www.aozora.gr.jp/cards/000903/files/47074_40109.html
1162,秋田 滋,46405,寡婦,新字新仮名,秋田 滋,公開,2007-07-02,モオパッサン短篇集　色ざんげ　他十篇,改造文庫、改造社出版,かふ,UNE VEUVE,https://www.aozora.gr.jp/cards/000903/files/46405_26862.html
1162,秋田 滋,43651,狂女,新字新仮名,秋田 滋,公開,2005-03-14,モオパツサン短篇集　初雪　他九篇,改造文庫、改造社出版,きちがい,LA FOLLE,https://www.aozora.gr.jp/cards/000903/files/43651_17887.html
1162,秋田 滋,47076,狂人日記,新字新仮名,秋田 滋,公開,2010-08-21,墓場稼ぎの売笑婦,暁書房,きょうじんにっき,,https://www.aozora.gr.jp/cards/000903/files/47076_40110.html
1162,秋田 滋,43652,墓,新字新仮名,秋田 滋,公開,2005-03-14,モオパツサン短篇集　初雪　他九篇,改造文庫、改造社出版,はか,LA TOMBE,https://www.aozora.gr.jp/cards/000903/files/43652_17886.html
1162,秋田 滋,43866,初雪,新字新仮名,秋田 滋,公開,2005-07-27,モオパツサン短篇集　初雪　他九篇,改造文庫、改造社出版,はつゆき,PREMIERE NEIGE,https://www.aozora.gr.jp/cards/000903/files/43866_18752.html
1990,芥川 紗織,59722,表紙絵について,新字新仮名,,公開,2021-05-24,新日本文学　第11巻第11号,新日本文学会,ひょうしえについて,,https://www.aozora.gr.jp/cards/001990/files/59722_73218.html
2132,芥川 多加志,60159,四人,新字旧仮名,,公開,2020-11-08,新潮　第百四巻第七号,新潮社,よにん,,https://www.aozora.gr.jp/cards/002132/files/60159_72109.html
879,芥川 竜之介,4872,愛読書の印象,新字旧仮名,,公開,2006-03-27,芥川龍之介全集　第一巻,岩波書店,あいどくしょのいんしょう,,https://www.aozora.gr.jp/cards/000879/files/4872_21839.html
879,芥川 竜之介,16,秋,新字旧仮名,,公開,1998-05-20,現代日本文學大系　43　芥川龍之介集,筑摩書房,あき,,https://www.aozora.gr.jp/cards/000879/files/16_14570.html
879,芥川 竜之介,178,芥川竜之介歌集,新字旧仮名,,公開,1999-07-18,芥川龍之介全集　第一巻,岩波書店,あくたがわりゅうのすけかしゅう,,https://www.aozora.gr.jp/cards/000879/files/178_14584.html
879,芥川 竜之介,15,アグニの神,新字旧仮名,,公開,1998-12-11,現代日本文學大系　43　芥川龍之介集,筑摩書房,アグニのかみ,,https://www.aozora.gr.jp/cards/000879/files/15_14583.html
879,芥川 竜之介,43014,アグニの神,新字新仮名,,公開,2005-02-06,蜘蛛の糸・杜子春,新潮文庫、新潮社,アグニのかみ,,https://www.aozora.gr.jp/cards/000879/files/43014_17430.html
879,芥川 竜之介,3804,悪魔,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,あくま,,https://www.aozora.gr.jp/cards/000879/files/3804_27277.html
879,芥川 竜之介,17,あの頃の自分の事,新字旧仮名,,公開,1998-06-22,現代日本文學大系　43　芥川龍之介集,筑摩書房,あのころのじぶんのこと,,https://www.aozora.gr.jp/cards/000879/files/17_14601.html
879,芥川 竜之介,14,あばばばば,新字旧仮名,,公開,1999-01-16,現代日本文學大系　43　芥川龍之介集,筑摩書房,あばばばば,,https://www.aozora.gr.jp/cards/000879/files/14_14602.html
879,芥川 竜之介,1138,鴉片,新字旧仮名,,公開,2002-01-26,芥川龍之介全集　第十三巻,岩波書店,アヘン,,https://www.aozora.gr.jp/cards/000879/files/1138_15285.html
879,芥川 竜之介,19,或阿呆の一生,新字旧仮名,,公開,1998-04-23,現代日本文學大系　43　芥川龍之介集,筑摩書房,あるあほうのいっしょう,,https://www.aozora.gr.jp/cards/000879/files/19_14618.html
879,芥川 竜之介,73,或敵打の話,新字新仮名,,公開,1999-01-12,芥川龍之介全集3,ちくま文庫、筑摩書房,あるかたきうちのはなし,,https://www.aozora.gr.jp/cards/000879/files/73_15158.html
879,芥川 竜之介,20,或旧友へ送る手記,新字旧仮名,,公開,1998-04-20,現代日本文學大系　43　芥川龍之介集,筑摩書房,あるきゅうゆうへおくるしゅき,,https://www.aozora.gr.jp/cards/000879/files/20_14619.html
879,芥川 竜之介,3827,或社会主義者,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,あるしゃかいしゅぎしゃ,,https://www.aozora.gr.jp/cards/000879/files/3827_27278.html
879,芥川 竜之介,122,或日の大石内蔵助,新字新仮名,,公開,1997-11-17,芥川龍之介全集2,ちくま文庫、筑摩書房,あるひのおおいしくらのすけ,,https://www.aozora.gr.jp/cards/000879/files/122_15159.html
879,芥川 竜之介,129,或恋愛小説,新字新仮名,,公開,1999-01-08,芥川龍之介全集5,ちくま文庫、筑摩書房,あるれんあいしょうせつ,,https://www.aozora.gr.jp/cards/000879/files/129_15155.html
879,芥川 竜之介,18,闇中問答,新字旧仮名,,公開,1998-03-24,現代日本文學大系　43　芥川龍之介集,筑摩書房,あんちゅうもんどう,,https://www.aozora.gr.jp/cards/000879/files/18_14822.html
879,芥川 竜之介,3767,案頭の書,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,あんとうのしょ,,https://www.aozora.gr.jp/cards/000879/files/3767_27279.html
879,芥川 竜之介,43362,飯田蛇笏,新字新仮名,,公開,2007-03-10,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,いいだだこつ,,https://www.aozora.gr.jp/cards/000879/files/43362_26111.html
879,芥川 竜之介,16034,遺書,新字旧仮名,,公開,2009-07-24,芥川龍之介全集　第二十三巻,岩波書店,いしょ,,https://www.aozora.gr.jp/cards/000879/files/16034_33783.html
879,芥川 竜之介,3750,イズムと云ふ語の意味次第,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,イズムというごのいみしだい,,https://www.aozora.gr.jp/cards/000879/files/3750_27280.html
879,芥川 竜之介,3748,一番気乗のする時,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,いちばんきのりのするとき,,https://www.aozora.gr.jp/cards/000879/files/3748_27281.html
879,芥川 竜之介,57,一夕話,新字新仮名,,公開,1999-01-10,芥川龍之介全集5,ちくま文庫、筑摩書房,いっせきわ,,https://www.aozora.gr.jp/cards/000879/files/57_15160.html
879,芥川 竜之介,3761,伊東から,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,いとうから,,https://www.aozora.gr.jp/cards/000879/files/3761_27282.html
879,芥川 竜之介,58,糸女覚え書,新字旧仮名,,公開,1999-01-16,現代日本文學大系　43　芥川龍之介集,筑摩書房,いとじょおぼえがき,,https://www.aozora.gr.jp/cards/000879/files/58_14823.html
879,芥川 竜之介,43363,犬養君に就いて,新字新仮名,,公開,2007-03-13,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,いぬかいくんについて,,https://www.aozora.gr.jp/cards/000879/files/43363_26112.html
879,芥川 竜之介,56,犬と笛,新字新仮名,,公開,1998-12-07,芥川龍之介全集2,ちくま文庫、筑摩書房,いぬとふえ,,https://www.aozora.gr.jp/cards/000879/files/56_15161.html
879,芥川 竜之介,55,芋粥,新字旧仮名,,公開,1999-05-29,現代日本文學大系　43　芥川龍之介集,筑摩書房,いもがゆ,,https://www.aozora.gr.jp/cards/000879/files/55_14824.html
879,芥川 竜之介,4274,岩野泡鳴氏,新字旧仮名,,公開,2002-10-08,芥川龍之介全集　第九巻,岩波書店,いわのほうめいし,,https://www.aozora.gr.jp/cards/000879/files/4274_6766.html
879,芥川 竜之介,177,魚河岸,新字新仮名,,公開,1998-12-28,芥川龍之介全集5,ちくま文庫、筑摩書房,うおがし,,https://www.aozora.gr.jp/cards/000879/files/177_15162.html
879,芥川 竜之介,4312,内田百間氏,新字旧仮名,,公開,2008-12-21,芥川龍之介全集　第十五巻,岩波書店,うちだひゃっけんし,,https://www.aozora.gr.jp/cards/000879/files/4312_33645.html
879,芥川 竜之介,174,馬の脚,新字新仮名,,公開,1999-01-05,芥川龍之介全集5,ちくま文庫、筑摩書房,うまのあし,,https://www.aozora.gr.jp/cards/000879/files/174_15163.html
879,芥川 竜之介,175,海のほとり,新字新仮名,,公開,1999-01-07,芥川龍之介全集6,ちくま文庫、筑摩書房,うみのほとり,,https://www.aozora.gr.jp/cards/000879/files/175_15164.html
879,芥川 竜之介,3823,囈語,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,うわごと,,https://www.aozora.gr.jp/cards/000879/files/3823_27298.html
879,芥川 竜之介,176,運,新字新仮名,,公開,1998-11-11,芥川龍之介全集1,ちくま文庫、筑摩書房,うん,,https://www.aozora.gr.jp/cards/000879/files/176_15165.html
879,芥川 竜之介,3751,永久に不愉快な二重生活,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,えいきゅうにふゆかいなにじゅうせいかつ,,https://www.aozora.gr.jp/cards/000879/files/3751_27283.html
879,芥川 竜之介,35,英雄の器,新字新仮名,,公開,1998-12-07,芥川龍之介全集2,ちくま文庫、筑摩書房,えいゆうのうつわ,,https://www.aozora.gr.jp/cards/000879/files/35_15166.html
879,芥川 竜之介,43364,江口渙氏の事,新字新仮名,,公開,2007-03-13,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,えぐちかんしのこと,,https://www.aozora.gr.jp/cards/000879/files/43364_26113.html
879,芥川 竜之介,3825,槐,新字旧仮名,,公開,2007-07-10,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,えんじゅ,,https://www.aozora.gr.jp/cards/000879/files/3825_27284.html
879,芥川 竜之介,118,老いたる素戔嗚尊,新字旧仮名,,公開,1999-01-17,現代日本文學大系　43　芥川龍之介集,筑摩書房,おいたるすさのおのみこと,,https://www.aozora.gr.jp/cards/000879/files/118_14835.html
879,芥川 竜之介,117,往生絵巻,新字旧仮名,,公開,1998-12-28,現代日本文學大系　43　芥川龍之介集,筑摩書房,おうじょうえまき,,https://www.aozora.gr.jp/cards/000879/files/117_14836.html
879,芥川 竜之介,123,大川の水,新字新仮名,,公開,1999-01-11,羅生門・鼻・芋粥,角川文庫、角川書店,おおかわのみず,,https://www.aozora.gr.jp/cards/000879/files/123_15167.html
879,芥川 竜之介,49328,大久保湖州,新字旧仮名,,公開,2008-12-21,芥川龍之介全集　第十一巻,岩波書店,おおくぼこしゅう,,https://www.aozora.gr.jp/cards/000879/files/49328_33646.html
879,芥川 竜之介,3824,Ｏ君の新秋,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,オーくんのしんしゅう,,https://www.aozora.gr.jp/cards/000879/files/3824_27286.html
879,芥川 竜之介,115,尾形了斎覚え書,新字旧仮名,,公開,1998-10-05,現代日本文學大系　43　芥川龍之介集,筑摩書房,おがたりょうさいおぼえがき,,https://www.aozora.gr.jp/cards/000879/files/115_14856.html
879,芥川 竜之介,116,おぎん,新字新仮名,,公開,1999-01-05,芥川龍之介全集5,ちくま文庫、筑摩書房,おぎん,,https://www.aozora.gr.jp/cards/000879/files/116_15168.html
879,芥川 竜之介,119,お時儀,新字新仮名,,公開,1998-12-28,芥川龍之介全集5,ちくま文庫、筑摩書房,おじぎ,,https://www.aozora.gr.jp/cards/000879/files/119_15169.html
879,芥川 竜之介,125,おしの,新字新仮名,,公開,1999-01-05,芥川龍之介全集5,ちくま文庫、筑摩書房,おしの,,https://www.aozora.gr.jp/cards/000879/files/125_15170.html
879,芥川 竜之介,126,お富の貞操,新字旧仮名,,公開,1999-01-19,現代日本文學大系　43　芥川龍之介集,筑摩書房,おとみのていそう,,https://www.aozora.gr.jp/cards/000879/files/126_14861.html
879,芥川 竜之介,3826,鬼ごつこ,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,おにごっこ,,https://www.aozora.gr.jp/cards/000879/files/3826_27287.html
879,芥川 竜之介,124,お律と子等と,新字新仮名,,公開,1998-12-19,芥川龍之介全集4,ちくま文庫、筑摩書房,おりつとこらと,,https://www.aozora.gr.jp/cards/000879/files/124_15171.html
879,芥川 竜之介,121,温泉だより,新字新仮名,,公開,1999-01-17,芥川龍之介全集6,ちくま文庫、筑摩書房,おんせんだより,,https://www.aozora.gr.jp/cards/000879/files/121_15172.html
879,芥川 竜之介,120,女,新字新仮名,,公開,1998-12-28,芥川龍之介全集3,ちくま文庫、筑摩書房,おんな,,https://www.aozora.gr.jp/cards/000879/files/120_15173.html
879,芥川 竜之介,67,開化の良人,新字新仮名,,公開,1998-12-23,芥川龍之介全集2,ちくま文庫、筑摩書房,かいかのおっと,,https://www.aozora.gr.jp/cards/000879/files/67_15174.html
879,芥川 竜之介,66,開化の殺人,新字旧仮名,,公開,1998-07-06,現代日本文學大系　43　芥川龍之介集,筑摩書房,かいかのさつじん,,https://www.aozora.gr.jp/cards/000879/files/66_14906.html
879,芥川 竜之介,65,貝殻,新字旧仮名,,公開,1999-01-27,芥川龍之介作品集　第四巻,昭和出版社,かいがら,,https://www.aozora.gr.jp/cards/000879/files/65_14907.html
879,芥川 竜之介,3764,解嘲,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かいちょう,,https://www.aozora.gr.jp/cards/000879/files/3764_27288.html
879,芥川 竜之介,3800,蛙,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かえる,,https://www.aozora.gr.jp/cards/000879/files/3800_27289.html
879,芥川 竜之介,64,影,新字新仮名,,公開,1999-03-01,芥川龍之介全集4,ちくま文庫、筑摩書房,かげ,,https://www.aozora.gr.jp/cards/000879/files/64_15175.html
879,芥川 竜之介,74,片恋,新字新仮名,,公開,1998-12-07,芥川龍之介全集2,ちくま文庫、筑摩書房,かたこい,,https://www.aozora.gr.jp/cards/000879/files/74_15176.html
879,芥川 竜之介,3814,かちかち山,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かちかちやま,,https://www.aozora.gr.jp/cards/000879/files/3814_27290.html
879,芥川 竜之介,3772,学校友だち,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,がっこうともだち,,https://www.aozora.gr.jp/cards/000879/files/3772_27291.html
879,芥川 竜之介,69,河童,新字新仮名,,公開,1999-01-24,河童・或る阿呆の一生,旺文社文庫、旺文社,かっぱ,,https://www.aozora.gr.jp/cards/000879/files/69_14933.html
879,芥川 竜之介,45761,河童,新字旧仮名,,公開,2010-05-29,芥川龍之介全集　第十四巻,岩波書店,かっぱ,,https://www.aozora.gr.jp/cards/000879/files/45761_39095.html
879,芥川 竜之介,3802,南瓜,新字旧仮名,,公開,2007-07-13,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かぼちゃ,,https://www.aozora.gr.jp/cards/000879/files/3802_27292.html
879,芥川 竜之介,68,神神の微笑,新字新仮名,,公開,1998-12-19,芥川龍之介全集4,ちくま文庫、筑摩書房,かみがみのびしょう,,https://www.aozora.gr.jp/cards/000879/files/68_15177.html
879,芥川 竜之介,3766,「仮面」の人々,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,「かめん」のひとびと,,https://www.aozora.gr.jp/cards/000879/files/3766_27293.html
879,芥川 竜之介,43366,鴨猟,新字新仮名,,公開,2007-03-07,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,かもりょう,,https://www.aozora.gr.jp/cards/000879/files/43366_26100.html
879,芥川 竜之介,2323,軽井沢で,新字旧仮名,,公開,1999-02-15,芥川龍之介全集　第四巻,筑摩書房,かるいざわで,,https://www.aozora.gr.jp/cards/000879/files/2323_13460.html
879,芥川 竜之介,29,カルメン,新字新仮名,,公開,1999-01-27,芥川龍之介全集6,ちくま文庫、筑摩書房,カルメン,,https://www.aozora.gr.jp/cards/000879/files/29_15178.html
879,芥川 竜之介,70,彼,新字新仮名,,公開,1999-03-01,芥川龍之介全集6,ちくま文庫、筑摩書房,かれ,,https://www.aozora.gr.jp/cards/000879/files/70_15179.html
879,芥川 竜之介,71,彼　第二,新字新仮名,,公開,1999-03-01,芥川龍之介全集6,ちくま文庫、筑摩書房,かれ　だいに,,https://www.aozora.gr.jp/cards/000879/files/71_15180.html
879,芥川 竜之介,72,枯野抄,新字旧仮名,,公開,1998-06-04,現代日本文學大系　43　芥川龍之介集,筑摩書房,かれのしょう,,https://www.aozora.gr.jp/cards/000879/files/72_14932.html
879,芥川 竜之介,3809,寒山拾得,新字旧仮名,,公開,2007-05-24,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かんざんじっとく,,https://www.aozora.gr.jp/cards/000879/files/3809_26610.html
879,芥川 竜之介,3747,鑑定,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,かんてい,,https://www.aozora.gr.jp/cards/000879/files/3747_27294.html
879,芥川 竜之介,77,奇怪な再会,新字新仮名,,公開,1998-12-19,芥川龍之介全集4,ちくま文庫、筑摩書房,きかいなさいかい,,https://www.aozora.gr.jp/cards/000879/files/77_15181.html
879,芥川 竜之介,2366,機関車を見ながら,新字旧仮名,,公開,1999-01-27,芥川龍之介作品集　第四巻,昭和出版社,きかんしゃをみながら,,https://www.aozora.gr.jp/cards/000879/files/2366_13454.html
879,芥川 竜之介,76,奇遇,新字新仮名,,公開,1998-12-19,芥川龍之介全集4,ちくま文庫、筑摩書房,きぐう,,https://www.aozora.gr.jp/cards/000879/files/76_15182.html
879,芥川 竜之介,43368,「菊池寛全集」の序,新字新仮名,,公開,2005-03-11,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,「きくちかんぜんしゅう」のじょ,,https://www.aozora.gr.jp/cards/000879/files/43368_17878.html
879,芥川 竜之介,80,煙管,新字新仮名,,公開,1998-11-11,芥川龍之介全集1,ちくま文庫、筑摩書房,きせる,,https://www.aozora.gr.jp/cards/000879/files/80_15183.html
879,芥川 竜之介,81,木曽義仲論,新字旧仮名,,公開,1999-01-30,現代日本文學大系　43　芥川龍之介集,筑摩書房,きそのよしなかろん,,https://www.aozora.gr.jp/cards/000879/files/81_14934.html
879,芥川 竜之介,1137,着物,新字旧仮名,,公開,2002-10-06,芥川龍之介全集　第九巻,岩波書店,きもの,,https://www.aozora.gr.jp/cards/000879/files/1137_6765.html
879,芥川 竜之介,2327,凶,新字旧仮名,,公開,1999-02-15,芥川龍之介全集　第四巻,筑摩書房,きょう,,https://www.aozora.gr.jp/cards/000879/files/2327_13464.html
879,芥川 竜之介,93,「鏡花全集」目録開口,新字旧仮名,,公開,1999-05-26,筑摩全集類聚版芥川龍之介全集第五巻,筑摩書房,「きょうかぜんしゅう」もくろくかいこう,,https://www.aozora.gr.jp/cards/000879/files/93_14953.html
879,芥川 竜之介,3815,教訓談,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,きょうくんだん,,https://www.aozora.gr.jp/cards/000879/files/3815_27295.html
879,芥川 竜之介,3803,京都日記,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,きょうとにっき,,https://www.aozora.gr.jp/cards/000879/files/3803_27296.html
879,芥川 竜之介,79,きりしとほろ上人伝,新字旧仮名,,公開,1998-06-22,現代日本文學大系　43　芥川龍之介集,筑摩書房,きりしとほろしょうにんでん,,https://www.aozora.gr.jp/cards/000879/files/79_14954.html
879,芥川 竜之介,39,疑惑,新字新仮名,,公開,1998-12-08,芥川龍之介全集3,ちくま文庫、筑摩書房,ぎわく,,https://www.aozora.gr.jp/cards/000879/files/39_15184.html
879,芥川 竜之介,78,金将軍,新字新仮名,,公開,1999-01-08,芥川龍之介全集5,ちくま文庫、筑摩書房,きんしょうぐん,,https://www.aozora.gr.jp/cards/000879/files/78_15185.html
879,芥川 竜之介,2328,鵠沼雑記,新字旧仮名,,公開,1999-02-15,芥川龍之介全集　第四巻,筑摩書房,くげぬまざっき,,https://www.aozora.gr.jp/cards/000879/files/2328_13465.html
879,芥川 竜之介,3784,孔雀,新字旧仮名,,公開,2007-07-16,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,くじゃく,,https://www.aozora.gr.jp/cards/000879/files/3784_27297.html
879,芥川 竜之介,91,首が落ちた話,新字新仮名,,公開,1998-12-23,芥川龍之介全集2,ちくま文庫、筑摩書房,くびがおちたはなし,,https://www.aozora.gr.jp/cards/000879/files/91_15186.html
879,芥川 竜之介,43369,久保田万太郎氏,新字新仮名,,公開,2007-03-07,大川の水・追憶・本所両国　現代日本のエッセイ,講談社文芸文庫、講談社,くぼたまんたろうし,,https://www.aozora.gr.jp/cards/000879/files/43369_26102.html
879,芥川 竜之介,43371,久米正雄氏の事,新字新仮名,,公開,2007-03-07,現代日本のエッセイ 大川の水／追憶／本所両国　芥川竜之介,講談社,くめまさおしのこと,,https://www.aozora.gr.jp/cards/000879/files/43371_26104.html
